2024-07-17 04:19:51 [    INFO] [test_logging] test_a1 (test_logging.py:14)
2024-07-17 04:19:52 [    INFO] [test_logging] test_a2 (test_logging.py:21)
2024-07-17 04:19:52 [    INFO] [test_logging] API call done (test_logging.py:31)
2024-07-17 04:19:52 [   ERROR] [test_logging] test_case03 xfail (test_logging.py:44)
2024-07-17 04:19:52 [   ERROR] [test_logging] func1 ValueError (test_logging.py:36)
2024-07-17 04:19:52 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 422 Unprocessable Entity" (_client.py:1026)
2024-07-17 04:19:52 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: PATCH http://testserver/api/v1/property/9c719073-8d8f-43c2-9a82-9cbb97da003d "HTTP/1.1 404 Not Found" (_client.py:1026)
2024-07-17 04:19:52 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage "HTTP/1.1 404 Not Found" (_client.py:1026)
2024-07-17 04:19:52 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage "HTTP/1.1 422 Unprocessable Entity" (_client.py:1026)
2024-07-17 04:19:52 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: GET http://testserver/api/v1/mortgage/bfce11e2-f518-4aa8-b007-47680ef47135 "HTTP/1.1 200 OK" (_client.py:1026)
2024-07-17 04:19:52 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: PATCH http://testserver/api/v1/mortgage/40183dbc-8bce-48e2-be4b-42eeadf08a85 "HTTP/1.1 202 Accepted" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: GET http://testserver/api/v1/mortgage/40183dbc-8bce-48e2-be4b-42eeadf08a85 "HTTP/1.1 200 OK" (_client.py:1026)
2024-07-17 04:19:52 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/mortgage "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: DELETE http://testserver/api/v1/mortgage/1b457283-b699-4d21-888e-4c154c75380d "HTTP/1.1 202 Accepted" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: GET http://testserver/api/v1/mortgage/1b457283-b699-4d21-888e-4c154c75380d "HTTP/1.1 404 Not Found" (_client.py:1026)
2024-07-17 04:19:52 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 04:19:52 [    INFO] [httpx] HTTP Request: GET http://testserver/api/v1/property/019d6a95-88f4-4e24-ab58-60ee8f1c334d "HTTP/1.1 200 OK" (_client.py:1026)
2024-07-17 04:19:53 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 04:19:53 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 04:19:53 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 04:19:53 [    INFO] [httpx] HTTP Request: PATCH http://testserver/api/v1/property/68221e8d-6407-45c6-8f77-0b19ed4860fa "HTTP/1.1 202 Accepted" (_client.py:1026)
2024-07-17 04:19:53 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 04:19:53 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 04:19:53 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
2024-07-17 04:19:53 [    INFO] [httpx] HTTP Request: DELETE http://testserver/api/v1/property/70315e8d-e372-43ee-9ee9-6d2266863aaa "HTTP/1.1 202 Accepted" (_client.py:1026)
2024-07-17 04:19:53 [    INFO] [httpx] HTTP Request: GET http://testserver/api/v1/property/70315e8d-e372-43ee-9ee9-6d2266863aaa "HTTP/1.1 404 Not Found" (_client.py:1026)
2024-07-17 04:19:53 [   DEBUG] [asyncio] Using proactor: IocpProactor (proactor_events.py:634)
2024-07-17 04:19:53 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property/ "HTTP/1.1 307 Temporary Redirect" (_client.py:1026)
2024-07-17 04:19:53 [    INFO] [httpx] HTTP Request: POST http://testserver/api/v1/property "HTTP/1.1 201 Created" (_client.py:1026)
